Group,Page,Current live URL,Mockup URL,Action,Proposed live URL
Service in town,Blackout Packages in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-blackout-packages.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/blackout-packages/
Service in town,Body Kits & Modifications in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-body-kits-modifications.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/body-kits-modifications/
Service in town,Custom Paint & Graphics in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-custom-paint-graphics.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/custom-paint-graphics/
Service in town,Engine Tuning & Performance in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-engine-tuning-performance.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/engine-tuning-performance/
Service in town,Interior Upholstery in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-interior-upholstery.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/interior-upholstery/
Service in town,Lift Kits & Suspension in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-lift-kits-suspension.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/lift-kits-suspension/
Service in town,Lighting Upgrades in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-lighting-upgrades.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/lighting-upgrades/
Service in town,Off-Road Builds in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-off-road-builds.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/off-road-builds/
Service in town,Restoration & Rebuilds in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-restoration-rebuilds.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/restoration-rebuilds/
Service in town,Wheels & Tires in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-wheels-tires.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/wheels-tires/
Service in town,Window Tinting & Detailing in Slidell,,https://angel062388.github.io/bigeasycustomcars-redesign/slidell-window-tinting-detailing.html,New page,https://www.bigeasycustomcars.com/services-areas/slidell/window-tinting-detailing/
Service in town,Audio & Lighting in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-audio-lighting.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/audio-lighting/
Service in town,Blackout Packages in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-blackout-packages.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/blackout-packages/
Service in town,Body Kits & Modifications in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-body-kits-modifications.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/body-kits-modifications/
Service in town,Custom Paint & Graphics in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-custom-paint-graphics.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/custom-paint-graphics/
Service in town,Engine Tuning & Performance in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-engine-tuning-performance.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/engine-tuning-performance/
Service in town,Interior Upholstery in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-interior-upholstery.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/interior-upholstery/
Service in town,Lift Kits & Suspension in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-lift-kits-suspension.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/lift-kits-suspension/
Service in town,Lighting Upgrades in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-lighting-upgrades.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/lighting-upgrades/
Service in town,Off-Road Builds in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-off-road-builds.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/off-road-builds/
Service in town,Restoration & Rebuilds in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-restoration-rebuilds.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/restoration-rebuilds/
Service in town,Wheels & Tires in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-wheels-tires.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/wheels-tires/
Service in town,Window Tinting & Detailing in St. Rose,,https://angel062388.github.io/bigeasycustomcars-redesign/st-rose-window-tinting-detailing.html,New page,https://www.bigeasycustomcars.com/services-areas/st-rose/window-tinting-detailing/
Blog posts,How Much Does It Cost to Lift a Truck?,,https://angel062388.github.io/bigeasycustomcars-redesign/post-how-much-does-it-cost-to-lift-a-truck.html,New page,https://www.bigeasycustomcars.com/blog/how-much-does-it-cost-to-lift-a-truck/
Company and legal,Team,https://www.bigeasycustomcars.com/team/,https://angel062388.github.io/bigeasycustomcars-redesign/team.html,Replace,
Company and legal,Team member (lorem ipsum demo page),https://www.bigeasycustomcars.com/team/john-smithson/,,301 redirect,
Company and legal,Team member (lorem ipsum demo page),https://www.bigeasycustomcars.com/team/john-smithson-2/,,301 redirect,
Company and legal,Team member (lorem ipsum demo page),https://www.bigeasycustomcars.com/team/john-smithson-3/,,301 redirect,
Company and legal,Team member (lorem ipsum demo page),https://www.bigeasycustomcars.com/team/john-smithson-4/,,301 redirect,
Company and legal,Team member (lorem ipsum demo page),https://www.bigeasycustomcars.com/team/john-smithson-5/,,301 redirect,
Company and legal,Privacy Policy,https://www.bigeasycustomcars.com/privacy-policy/,https://angel062388.github.io/bigeasycustomcars-redesign/privacy-policy.html,Replace,
Company and legal,Terms and Conditions,https://www.bigeasycustomcars.com/terms-and-conditions/,https://angel062388.github.io/bigeasycustomcars-redesign/terms-and-conditions.html,Replace,
Company and legal,Sitemap,https://www.bigeasycustomcars.com/sitemap/,https://angel062388.github.io/bigeasycustomcars-redesign/sitemap.html,Replace,
Company and legal,Thank You,https://www.bigeasycustomcars.com/thank-you/,https://angel062388.github.io/bigeasycustomcars-redesign/thank-you.html,Replace,
